species,authority,url
Acanthophis antarcticus,"(SHAW, 1802)",https://reptile-database.reptarium.cz/Acanthophis/antarcticus?search_param=%28%28taxon%3D%27snake%27%29%29
Acanthophis cryptamydros,"MADDOCK, ELLIS, DOUGHTY, SMITH & WÜSTER, 2015",https://reptile-database.reptarium.cz/Acanthophis/cryptamydros?search_param=%28%28taxon%3D%27snake%27%29%29
Acanthophis hawkei,"WELLS & WELLINGTON, 1985",https://reptile-database.reptarium.cz/Acanthophis/hawkei?search_param=%28%28taxon%3D%27snake%27%29%29
Acanthophis laevis,"MACLEAY, 1877",https://reptile-database.reptarium.cz/Acanthophis/laevis?search_param=%28%28taxon%3D%27snake%27%29%29
Acanthophis praelongus,"RAMSAY, 1877",https://reptile-database.reptarium.cz/Acanthophis/praelongus?search_param=%28%28taxon%3D%27snake%27%29%29
Acanthophis pyrrhus,"BOULENGER, 1898",https://reptile-database.reptarium.cz/Acanthophis/pyrrhus?search_param=%28%28taxon%3D%27snake%27%29%29
Acanthophis rugosus,"LOVERIDGE, 1948",https://reptile-database.reptarium.cz/Acanthophis/rugosus?search_param=%28%28taxon%3D%27snake%27%29%29
Acanthophis wellsi,"HOSER, 1998",https://reptile-database.reptarium.cz/Acanthophis/wellsi?search_param=%28%28taxon%3D%27snake%27%29%29
Achalinus ater,"BOURRET, 1937",https://reptile-database.reptarium.cz/Achalinus/ater?search_param=%28%28taxon%3D%27snake%27%29%29
Achalinus dabieshanensis,"ZHANG, LIU, HUANG, HU, YU, SUN, ZHANG, WEN & ZHANG, 2023",https://reptile-database.reptarium.cz/Achalinus/dabieshanensis?search_param=%28%28taxon%3D%27snake%27%29%29
Achalinus damingensis,"XU, YANG, WU, GONG, HUANG & HUANG, 2023",https://reptile-database.reptarium.cz/Achalinus/damingensis?search_param=%28%28taxon%3D%27snake%27%29%29
Achalinus dehuaensis,"LI, WU, XU, ZHU, REN, GUO & DONG, 2021",https://reptile-database.reptarium.cz/Achalinus/dehuaensis?search_param=%28%28taxon%3D%27snake%27%29%29
Achalinus emilyae,"ZIEGLER, NGUYEN, PHAM, NGUYEN, PHAM, VAN SCHINGEN, NGUYEN & LE, 2019",https://reptile-database.reptarium.cz/Achalinus/emilyae?search_param=%28%28taxon%3D%27snake%27%29%29
Achalinus formosanus,"BOULENGER, 1908",https://reptile-database.reptarium.cz/Achalinus/formosanus?search_param=%28%28taxon%3D%27snake%27%29%29
Achalinus hainanus,"HUANG, 1975",https://reptile-database.reptarium.cz/Achalinus/hainanus?search_param=%28%28taxon%3D%27snake%27%29%29
Achalinus huangjietangi,"HUANG, PENG & HUANG, 2021",https://reptile-database.reptarium.cz/Achalinus/huangjietangi?search_param=%28%28taxon%3D%27snake%27%29%29
Achalinus hunanensis,"MA, SHI, XIANG, SHU & JIANG, 2023",https://reptile-database.reptarium.cz/Achalinus/hunanensis?search_param=%28%28taxon%3D%27snake%27%29%29
Achalinus jianghuaensis,"HUANG, LIU, ZHANG & WU, 2024",https://reptile-database.reptarium.cz/Achalinus/jianghuaensis?search_param=%28%28taxon%3D%27snake%27%29%29
Achalinus jinggangensis,"(ZONG & MA, 1983)",https://reptile-database.reptarium.cz/Achalinus/jinggangensis?search_param=%28%28taxon%3D%27snake%27%29%29
Achalinus juliani,"ZIEGLER, NGUYEN, PHAM, NGUYEN, PHAM, VAN SCHINGEN, NGUYEN & LE, 2019",https://reptile-database.reptarium.cz/Achalinus/juliani?search_param=%28%28taxon%3D%27snake%27%29%29
Achalinus meiguensis,"HU & ZHAO, 1966",https://reptile-database.reptarium.cz/Achalinus/meiguensis?search_param=%28%28taxon%3D%27snake%27%29%29
Achalinus mirabilis,"XU, HU, QI, MA, CHEN, ZHANG, ZHANG, SUN, ZHOU, XU, WANG & PENG, 2026",https://reptile-database.reptarium.cz/Achalinus/mirabilis?search_param=%28%28taxon%3D%27snake%27%29%29
Achalinus nanshanensis,"LI, ZHU, XIAO, WU, YANG, ZHANG & MO, 2024",https://reptile-database.reptarium.cz/Achalinus/nanshanensis?search_param=%28%28taxon%3D%27snake%27%29%29
Achalinus niger,"MAKI, 1931",https://reptile-database.reptarium.cz/Achalinus/niger?search_param=%28%28taxon%3D%27snake%27%29%29
Achalinus ningshanensis,"YANG, HUANG, JIANG, BURBRINK, GONG, YU, ZHANG, HUANG & HUANG, 2022",https://reptile-database.reptarium.cz/Achalinus/ningshanensis?search_param=%28%28taxon%3D%27snake%27%29%29
Achalinus panzhihuaensis,"HOU, WANG, GUO, CHEN, YUAN & CHE, 2021",https://reptile-database.reptarium.cz/Achalinus/panzhihuaensis?search_param=%28%28taxon%3D%27snake%27%29%29
Achalinus pingbianensis,"LI, YU, WU, LIAO, TANG, LIU & GUO, 2020",https://reptile-database.reptarium.cz/Achalinus/pingbianensis?search_param=%28%28taxon%3D%27snake%27%29%29
